name	kategorie	typ	bedeutung
abiboost	Abitur	Kompositum	Dein weg zum abi — als Schub
abideck	Abitur	Kompositum	Dein weg zum abi — als Cockpit
abigrade	Abitur	Kompositum	Dein weg zum abi — rund um Noten
abiloop	Abitur	Kompositum	Dein weg zum abi — als taegliche Routine
abimind	Abitur	Kompositum	Dein weg zum abi — fuer den Kopf
abinorth	Abitur	Kompositum	Dein weg zum abi — als feste Richtung
abipath	Abitur	Kompositum	Dein weg zum abi — als Pfad
abipeak	Abitur	Kompositum	Dein weg zum abi — auf dem Gipfel
abirise	Abitur	Kompositum	Dein weg zum abi — im Aufstieg
abisync	Abitur	Kompositum	Dein weg zum abi — im Gleichtakt
apexkompass	Aufstieg	Kompositum	Die spitze — als Kompass
ascenddeck	Aufstieg	Kompositum	Aufsteigen — als Cockpit
ascendgrade	Aufstieg	Kompositum	Aufsteigen — rund um Noten
ascendkompass	Aufstieg	Kompositum	Aufsteigen — als Kompass
gipfelo	Aufstieg	Kunstwort	Gipfel mit Markenendung
gradusbase	Aufstieg	Kompositum	Die stufe (lat.) — als Basis
gradusboard	Aufstieg	Kompositum	Die stufe (lat.) — als Board/Tafel
gradusboost	Aufstieg	Kompositum	Die stufe (lat.) — als Schub
gradusdeck	Aufstieg	Kompositum	Die stufe (lat.) — als Cockpit
gradusdesk	Aufstieg	Kompositum	Die stufe (lat.) — als Schreibtisch
gradusflow	Aufstieg	Kompositum	Die stufe (lat.) — im Flow, alles fliesst
gradusforge	Aufstieg	Kompositum	Die stufe (lat.) — als Schmiede
gradusgrade	Aufstieg	Kompositum	Die stufe (lat.) — rund um Noten
gradusio	Aufstieg	Kompositum	Die stufe (lat.) — (Tech-Marken-Endung)
graduskit	Aufstieg	Kompositum	Die stufe (lat.) — als Werkzeugkasten
graduskompass	Aufstieg	Kompositum	Die stufe (lat.) — als Kompass
graduslab	Aufstieg	Kompositum	Die stufe (lat.) — als Labor
gradusloop	Aufstieg	Kompositum	Die stufe (lat.) — als taegliche Routine
gradusmind	Aufstieg	Kompositum	Die stufe (lat.) — fuer den Kopf
gradusnest	Aufstieg	Kompositum	Die stufe (lat.) — als Nest/Zuhause
gradusnorth	Aufstieg	Kompositum	Die stufe (lat.) — als feste Richtung
gradusos	Aufstieg	Kompositum	Die stufe (lat.) — als Betriebssystem
graduspeak	Aufstieg	Kompositum	Die stufe (lat.) — auf dem Gipfel
graduspilot	Aufstieg	Kompositum	Die stufe (lat.) — als Steuerung/Pilot
gradusrise	Aufstieg	Kompositum	Die stufe (lat.) — im Aufstieg
gradusscope	Aufstieg	Kompositum	Die stufe (lat.) — im Blickfeld
gradusscore	Aufstieg	Kompositum	Die stufe (lat.) — rund um den Punktestand
gradussphere	Aufstieg	Kompositum	Die stufe (lat.) — als eigene Sphaere
gradusstar	Aufstieg	Kompositum	Die stufe (lat.) — als Leitstern
gradussync	Aufstieg	Kompositum	Die stufe (lat.) — im Gleichtakt
gradusverse	Aufstieg	Kompositum	Die stufe (lat.) — als ganzes Universum
gradusway	Aufstieg	Kompositum	Die stufe (lat.) — als Weg
levelkompass	Aufstieg	Kompositum	Die stufe — als Kompass
peakkompass	Aufstieg	Kompositum	Der gipfel — als Kompass
risekompass	Aufstieg	Kompositum	Dein aufstieg — als Kompass
summitgrade	Aufstieg	Kompositum	Der gipfel — rund um Noten
summitkompass	Aufstieg	Kompositum	Der gipfel — als Kompass
orbitkompass	Cockpit	Kompositum	Die umlaufbahn, alles im blick — als Kompass
fokusbase	Fokus	Kompositum	Dein fokus — als Basis
fokusboard	Fokus	Kompositum	Dein fokus — als Board/Tafel
fokusboost	Fokus	Kompositum	Dein fokus — als Schub
fokuscore	Fokus	Kompositum	Dein fokus — im Kern
fokusdeck	Fokus	Kompositum	Dein fokus — als Cockpit
fokusgrade	Fokus	Kompositum	Dein fokus — rund um Noten
